image_id,polygon_id,text,script_language,coordinates
IMG_10,polygon_0,garnet,english,"[1711, 1837, 2490, 2028]"
IMG_10,polygon_1,wipro,english,"[803, 1849, 1343, 2046]"
IMG_10,polygon_2,led,english,"[2242, 2396, 2529, 2592]"
IMG_1,polygon_0,പാലക്കുറവിൽ,malayalam,"[1158, 565, 1553, 661]"
IMG_1,polygon_1,aer,english,"[1729, 1100, 2340, 1388]"
IMG_1,polygon_2,ની,gujarati,"[1432, 1235, 1739, 1469]"
IMG_1,polygon_3,ਅਤਿਆ,punjabi,"[968, 1264, 1272, 1541]"
IMG_1,polygon_4,ਸਿਨਾਤਾ,punjabi,"[1140, 1271, 1199, 1307]"
IMG_1,polygon_5,ਸਿਵਾਈ,punjabi,"[2168, 1727, 2363, 1893]"
IMG_1,polygon_6,leru,english,"[665, 1785, 1326, 2057]"
IMG_1,polygon_7,oyal,english,"[2043, 1949, 2124, 1977]"
IMG_1,polygon_8,દાસ,gujarati,"[2084, 1979, 2135, 2008]"
IMG_11,polygon_0,ਨਾੇਸ,punjabi,"[1594, 1658, 1760, 1740]"
IMG_11,polygon_1,lum,english,"[1150, 1656, 1378, 1756]"
IMG_11,polygon_2,ਰਾਏਲਸ,punjabi,"[1815, 1655, 2090, 1749]"
IMG_11,polygon_3,em,english,"[1421, 1677, 1553, 1740]"
IMG_11,polygon_4,meground,english,"[1648, 1818, 2605, 2047]"
IMG_11,polygon_5,klasafch,english,"[567, 1826, 1503, 2053]"
IMG_11,polygon_6,kangjeibung,english,"[1520, 2080, 2127, 2136]"
IMG_11,polygon_7,keinou,english,"[1169, 2086, 1488, 2140]"
IMG_11,polygon_8,mn01s5312,english,"[946, 3972, 1068, 4004]"
IMG_2,polygon_0,muse,english,"[1157, 921, 1814, 1318]"
IMG_2,polygon_1,state,english,"[517, 1197, 1117, 1585]"
IMG_3,polygon_0,মরা,assamese,"[2272, 976, 2784, 1201]"
IMG_3,polygon_1,লাংবন,assamese,"[1191, 1003, 1979, 1224]"
IMG_3,polygon_2,ટ,gujarati,"[1516, 1671, 1608, 1756]"
IMG_3,polygon_3,மங்கனி,tamil,"[1408, 1682, 2498, 1896]"
IMG_3,polygon_4,ਸਿੰਘ,punjabi,"[1745, 1958, 1852, 2136]"
IMG_3,polygon_5,নাংমাইজিং,assamese,"[1422, 2352, 2294, 2554]"
IMG_16,polygon_0,class,english,"[1411, 1499, 2017, 1698]"
IMG_16,polygon_1,कक्षा,hindi,"[456, 1631, 1032, 1904]"
IMG_16,polygon_2,room,english,"[1403, 1735, 1957, 1940]"
IMG_7,polygon_0,ऋतु,hindi,"[6, 1354, 78, 1473]"
IMG_7,polygon_1,896,punjabi,"[91, 1369, 171, 1505]"
IMG_7,polygon_2,ਸਿ,punjabi,"[101, 1509, 146, 1550]"
IMG_7,polygon_3,ਤੇਸੴਸਵੇ੦ਾ,punjabi,"[911, 1484, 1440, 1671]"
IMG_7,polygon_4,કાપ,gujarati,"[5, 1724, 99, 1898]"
IMG_7,polygon_5,sarmila,english,"[755, 1777, 1605, 1997]"
IMG_7,polygon_6,pharmacy,english,"[555, 2068, 1821, 2306]"
IMG_7,polygon_7,phone,english,"[1628, 2430, 1809, 2478]"
IMG_7,polygon_8,9856192654,english,"[1818, 2439, 2096, 2489]"
IMG_6,polygon_0,लोडस्टोम,marathi,"[1535, 1040, 1876, 1192]"
IMG_6,polygon_1,ਨੲਨਾਪਰਾਸਤਾਪ੍ਰੇਨਟਾਲ,punjabi,"[1314, 1173, 2087, 1348]"
IMG_6,polygon_2,ਸਾਰਾ,punjabi,"[1913, 1942, 2013, 2085]"
IMG_6,polygon_3,੨,punjabi,"[1919, 2131, 2014, 2250]"
IMG_6,polygon_4,definition,english,"[2259, 2293, 2562, 2430]"
IMG_6,polygon_5,gh,english,"[2167, 2371, 2245, 2451]"
IMG_6,polygon_6,machine,english,"[2349, 2375, 2585, 2488]"
IMG_6,polygon_7,nting,english,"[2169, 2431, 2334, 2532]"
IMG_6,polygon_8,ਕਾਰਾ,punjabi,"[1918, 2458, 2009, 2737]"
IMG_6,polygon_9,n,english,"[1922, 2952, 2009, 3069]"
IMG_6,polygon_10,g,english,"[1915, 3110, 2017, 3234]"
IMG_6,polygon_11,paints,english,"[1430, 3817, 1530, 3846]"
IMG_17,polygon_0,lg,english,"[1296, 1340, 1405, 1410]"
IMG_17,polygon_1,ശ്രീ,malayalam,"[828, 1970, 1224, 2255]"
